Draft Year,Pick #,Player,Experience Level
2024,1,Zaccharie Risacher,International
2024,2,Alexandre Sarr,International
2024,3,Reed Sheppard,Freshman
2024,4,Stephon Castle,Freshman
2024,5,Ron Holland,G League
2024,6,Tidjane Salaun,International
2024,7,Donovan Clingan,Sophomore
2024,8,Rob Dillingham,Freshman
2024,9,Zach Edey,Senior
2024,10,Cody Williams,Freshman
2024,11,Matas Buzelis,G League
2024,12,Nikola Topić,International
2024,13,Devin Carter,Junior
2024,14,Carlton Carrington,Freshman
2024,15,Kel'el Ware,Sophomore
2023,1,Victor Wembanyama,International
2023,2,Brandon Miller,Freshman
2023,3,Scoot Henderson,G League
2023,4,Amen Thompson,Overtime Elite
2023,5,Ausar Thompson,Overtime Elite
2023,6,Anthony Black,Freshman
2023,7,Bilal Coulibaly,International
2023,8,Jarace Walker,Freshman
2023,9,Taylor Hendricks,Freshman
2023,10,Cason Wallace,Freshman
2023,11,Jett Howard,Freshman
2023,12,Dereck Lively II,Freshman
2023,13,Gradey Dick,Freshman
2023,14,Jordan Hawkins,Sophomore
2023,15,Kobe Bufkin,Sophomore
2022,1,Paolo Banchero,Freshman
2022,2,Chet Holmgren,Freshman
2022,3,Jabari Smith,Freshman
2022,4,Keegan Murray,Sophomore
2022,5,Jaden Ivey,Sophomore
2022,6,Bennedict Mathurin,Sophomore
2022,7,Shaedon Sharpe,Freshman
2022,8,Dyson Daniels,G League
2022,9,Jeremy Sochan,Freshman
2022,10,Johnny Davis,Sophomore
2022,11,Ousmane Dieng,International
2022,12,Jalen Williams,Junior
2022,13,Jalen Duren,Freshman
2022,14,Ochai Agbaji,Senior
2022,15,Mark Williams,Sophomore
2021,1,Cade Cunningham,Freshman
2021,2,Jalen Green,G League
2021,3,Evan Mobley,Freshman
2021,4,Scottie Barnes,Freshman
2021,5,Jalen Suggs,Freshman
2021,6,Josh Giddey,International
2021,7,Jonathan Kuminga,G League
2021,8,Franz Wagner,Sophomore
2021,9,Davion Mitchell,Junior
2021,10,Ziaire Williams,Freshman
2021,11,James Bouknight,Sophomore
2021,12,Joshua Primo,Freshman
2021,13,Chris Duarte,Senior
2021,14,Moses Moody,Freshman
2021,15,Corey Kispert,Senior
2020,1,Anthony Edwards,Freshman
2020,2,James Wiseman,Freshman
2020,3,LaMelo Ball,International
2020,4,Patrick Williams,Freshman
2020,5,Isaac Okoro,Freshman
2020,6,Onyeka Okongwu,Freshman
2020,7,Killian Hayes,International
2020,8,Obi Toppin,Sophomore
2020,9,Deni Avdija,International
2020,10,Jalen Smith,Sophomore
2020,11,Devin Vassell,Sophomore
2020,12,Tyrese Haliburton,Sophomore
2020,13,Kira Lewis Jr.,Sophomore
2020,14,Aaron Nesmith,Sophomore
2020,15,Cole Anthony,Freshman
2019,1,Zion Williamson,Freshman
2019,2,Ja Morant,Sophomore
2019,3,R.J. Barrett,Freshman
2019,4,De'Andre Hunter,Sophomore
2019,5,Darius Garland,Freshman
2019,6,Jarrett Culver,Sophomore
2019,7,Coby White,Freshman
2019,8,Jaxson Hayes,Freshman
2019,9,Rui Hachimura,Junior
2019,10,Cam Reddish,Freshman
2019,11,Cameron Johnson,Senior
2019,12,P.J. Washington,Sophomore
2019,13,Tyler Herro,Freshman
2019,14,Romeo Langford,Freshman
2019,15,Sekou Doumbouya,International
2018,1,DeAndre Ayton,Freshman
2018,2,Marvin Bagley,Freshman
2018,3,Luka Dončić,International
2018,4,Jaren Jackson Jr.,Freshman
2018,5,Trae Young,Freshman
2018,6,Mohamed Bamba,Freshman
2018,7,Wendell Carter,Freshman
2018,8,Collin Sexton,Freshman
2018,9,Kevin Knox,Freshman
2018,10,Mikal Bridges,Junior
2018,11,Sh. Gilgeous-Alexander,Freshman
2018,12,Miles Bridges,Sophomore
2018,13,Jerome Robinson,Junior
2018,14,Michael Porter,Freshman
2018,15,Troy Brown,Freshman
2017,1,Markelle Fultz,Freshman
2017,2,Lonzo Ball,Freshman
2017,3,Jayson Tatum,Freshman
2017,4,Josh Jackson,Freshman
2017,5,De'Aaron Fox,Freshman
2017,6,Jonathan Isaac,Freshman
2017,7,Lauri Markkanen,Freshman
2017,8,Frank Ntilikina,International
2017,9,Dennis Smith,Freshman
2017,10,Zach Collins,Freshman
2017,11,Malik Monk,Freshman
2017,12,Luke Kennard,Sophomore
2017,13,Donovan Mitchell,Sophomore
2017,14,Bam Adebayo,Freshman
2017,15,Justin Jackson,Junior
2016,1,Ben Simmons,Freshman
2016,2,Brandon Ingram,Freshman
2016,3,Jaylen Brown,Freshman
2016,4,Dragan Bender,International
2016,5,Kris Dunn,Junior
2016,6,Buddy Hield,Senior
2016,7,Jamal Murray,Freshman
2016,8,Marquese Chriss,Freshman
2016,9,Jakob Poeltl,Sophomore
2016,10,Thon Maker,HS Senior
2016,11,Domantas Sabonis,Sophomore
2016,12,Taurean Prince,Senior
2016,13,Georgios Papagiannis,International
2016,14,Denzel Valentine,Senior
2016,15,Juan Hernangómez,International
2015,1,Karl-Anthony Towns,Freshman
2015,2,D'Angelo Russell,Freshman
2015,3,Jahlil Okafor,Freshman
2015,4,Kristaps Porzingis,International
2015,5,Mario Hezonja,International
2015,6,Willie Cauley-Stein,Junior
2015,7,Emmanuel Mudiay,International
2015,8,Stanley Johnson,Freshman
2015,9,Frank Kaminsky,Senior
2015,10,Justise Winslow,Freshman
2015,11,Myles Turner,Freshman
2015,12,Trey Lyles,Freshman
2015,13,Devin Booker,Freshman
2015,14,Cameron Payne,Sophomore
2015,15,Kelly Oubre,Freshman
2014,1,Andrew Wiggins,Freshman
2014,2,Jabari Parker,Freshman
2014,3,Joel Embiid,Freshman
2014,4,Aaron Gordon,Freshman
2014,5,Dante Exum,International
2014,6,Marcus Smart,Sophomore
2014,7,Julius Randle,Freshman
2014,8,Nik Stauskas,Sophomore
2014,9,Noah Vonleh,Freshman
2014,10,Elfrid Payton,Junior
2014,11,Doug McDermott,Senior
2014,12,Dario Saric,International
2014,13,Zach LaVine,Freshman
2014,14,T.J. Warren,Sophomore
2014,15,Adreian Payne,Senior
2013,1,Anthony Bennett,Freshman
2013,2,Victor Oladipo,Junior
2013,3,Otto Porter,Sophomore
2013,4,Cody Zeller,Sophomore
2013,5,Alex Len,Sophomore
2013,6,Nerlens Noel,Freshman
2013,7,Ben McLemore,Freshman
2013,8,Kentavi. Caldwell-Pope,Sophomore
2013,9,Trey Burke,Sophomore
2013,10,CJ McCollum,Senior
2013,11,Micha. Carter-Williams,Sophomore
2013,12,Steven Adams,Freshman
2013,13,Kelly Olynyk,Junior
2013,14,Shabazz Muhammad,Freshman
2013,15,Giannis Antetokounmpo,International
2012,1,Anthony Davis,Freshman
2012,2,Michael Kidd-Gilchrist,Freshman
2012,3,Bradley Beal,Freshman
2012,4,Dion Waiters,Sophomore
2012,5,Thomas Robinson,Junior
2012,6,Damian Lillard,Senior
2012,7,Harrison Barnes,Sophomore
2012,8,Terrence Ross,Sophomore
2012,9,Andre Drummond,Freshman
2012,10,Austin Rivers,Freshman
2012,11,Meyers Leonard,Sophomore
2012,12,Jeremy Lamb,Sophomore
2012,13,Kendall Marshall,Sophomore
2012,14,John Henson,Junior
2012,15,Maurice Harkless,Freshman
2011,1,Kyrie Irving,Freshman
2011,2,Derrick Williams,Sophomore
2011,3,Enes Kanter,Freshman
2011,4,Tristan Thompson,Freshman
2011,5,Jonas Valanciunas,International
2011,6,Jan Vesely,International
2011,7,Bismack Biyombo,International
2011,8,Brandon Knight,Freshman
2011,9,Kemba Walker,Junior
2011,10,Jimmer Fredette,Senior
2011,11,Klay Thompson,Junior
2011,12,Alec Burks,Sophomore
2011,13,Markieff Morris,Junior
2011,14,Marcus Morris,Junior
2011,15,Kawhi Leonard,Sophomore
2010,1,John Wall,Freshman
2010,2,Evan Turner,Junior
2010,3,Derrick Favors,Freshman
2010,4,Wesley Johnson,Junior
2010,5,DeMarcus Cousins,Freshman
2010,6,Ekpe Udoh,Junior
2010,7,Greg Monroe,Sophomore
2010,8,Al-Farouq Aminu,Sophomore
2010,9,Gordon Hayward,Sophomore
2010,10,Paul George,Sophomore
2010,11,Cole Aldrich,Junior
2010,12,Xavier Henry,Freshman
2010,13,Ed Davis,Sophomore
2010,14,Patrick Patterson,Junior
2010,15,Larry Sanders,Junior
2009,1,Blake Griffin,Sophomore
2009,2,Hasheem Thabeet,Junior
2009,3,James Harden,Sophomore
2009,4,Tyreke Evans,Freshman
2009,5,Ricky Rubio,International
2009,6,Jonny Flynn,Sophomore
2009,7,Stephen Curry,Junior
2009,8,Jordan Hill,Junior
2009,9,DeMar DeRozan,Freshman
2009,10,Brandon Jennings,International
2009,11,Terrence Williams,Senior
2009,12,Gerald Henderson,Junior
2009,13,Tyler Hansbrough,Senior
2009,14,Earl Clark,Junior
2009,15,Austin Daye,Sophomore
2008,1,Derrick Rose,Freshman
2008,2,Michael Beasley,Freshman
2008,3,O.J. Mayo,Freshman
2008,4,Russell Westbrook,Sophomore
2008,5,Kevin Love,Freshman
2008,6,Danilo Gallinari,International
2008,7,Eric Gordon,Freshman
2008,8,Joe Alexander,Junior
2008,9,D.J. Augustin,Sophomore
2008,10,Brook Lopez,Sophomore
2008,11,Jerryd Bayless,Freshman
2008,12,Jason Thompson,Senior
2008,13,Brandon Rush,Junior
2008,14,Anthony Randolph,Freshman
2008,15,Robin Lopez,Sophomore
2007,1,Greg Oden,2007
2007,2,Kevin Durant,Freshman
2007,3,Al Horford,Junior
2007,4,Mike Conley,Freshman
2007,5,Jeff Green,Junior
2007,6,Yi Jianlian,International
2007,7,Corey Brewer,Junior
2007,8,Brandan Wright,Freshman
2007,9,Joakim Noah,Junior
2007,10,Spencer Hawes,Freshman
2007,11,Acie Law,Senior
2007,12,Thaddeus Young,Freshman
2007,13,Julian Wright,Sophomore
2007,14,Al Thornton,Senior
2007,15,Rodney Stuckey,Sophomore
2006,1,Andrea Bargnani,International
2006,2,LaMarcus Aldridge,Sophomore
2006,3,Adam Morrison,Junior
2006,4,Tyrus Thomas,Freshman
2006,5,Shelden Williams,Senior
2006,6,Brandon Roy,Senior
2006,7,Randy Foye,Senior
2006,8,Rudy Gay,Sophomore
2006,9,Patrick O'Bryant,Sophomore
2006,10,Mouhamed Sene,International
2006,11,JJ Redick,Senior
2006,12,Hilton Armstrong,Senior
2006,13,Thabo Sefolosha,International
2006,14,Ronnie Brewer,Junior
2006,15,Cedric Simmons,Sophomore
2005,1,Andrew Bogut,Sophomore
2005,2,Marvin Williams,Freshman
2005,3,Deron Williams,Junior
2005,4,Chris Paul,Sophomore
2005,5,Raymond Felton,Junior
2005,6,Martell Webster,HS Senior
2005,7,Charlie Villanueva,Sophomore
2005,8,Channing Frye,Senior
2005,9,Ike Diogu,Junior
2005,10,Andrew Bynum,HS Senior
2005,11,Fran Vázquez,International
2005,12,Yaroslav Korolev,International
2005,13,Sean May,Junior
2005,14,Rashad McCants,Junior
2005,15,Antoine Wright,Junior
2004,1,Dwight Howard,HS Senior
2004,2,Emeka Okafor,Junior
2004,3,Ben Gordon,Junior
2004,4,Shaun Livingston,HS Senior
2004,5,Devin Harris,Junior
2004,6,Josh Childress,Junior
2004,7,Luol Deng,Freshman
2004,8,Rafael Araújo,Senior
2004,9,Andre Iguodala,Sophomore
2004,10,Luke Jackson,Senior
2004,11,Andris Biedrins,International
2004,12,Robert Swift,HS Senior
2004,13,Sebastian Telfair,HS Senior
2004,14,Kris Humphries,Freshman
2004,15,Al Jefferson,HS Senior
